dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_source_peer_direction_agreement_pair_p05_fraction_below_observed	0.7406668842178525	0.5862370187639621	0.8522196286241583	114	32	26	ok	0.741 [0.586, 0.852]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.12929680057217569	0.11163954979929155	0.14748118415098252	114	32	26	ok	0.129 [0.112, 0.147]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_target_centroid_direction_agreement_pair_p05	0.49460593586325585	0.46051668987838323	0.5292849263098953	114	111	85	ok	0.495 [0.461, 0.529]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_target_peer_direction_agreement_pair_p05	0.508799501240728	0.5024488470221251	0.5149482847729268	114	32	26	ok	0.509 [0.502, 0.515]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_target_peer_direction_agreement_pair_p05_corrected_percentile	0.8126763490721448	0.6474179498240425	0.9114433432516978	114	32	26	ok	0.813 [0.647, 0.911]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_target_peer_direction_agreement_pair_p05_fraction_below_observed	0.8118869726743607	0.6478195240454948	0.9079284621422133	114	32	26	ok	0.812 [0.648, 0.908]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_target_peer_direction_agreement_pair_p05_sd_score	0.09800702973068684	0.08124063690478343	0.12160181774338526	114	32	26	ok	0.098 [0.081, 0.122]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	baseline_pair_direction_agreement_p05	0.8361616986353233	0.8129966386365025	0.8550130022256718	68	68	68	ok	0.836 [0.813, 0.855]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	delta_vs_baseline_pair_direction_agreement_p05	0.0936097579200914	0.05295442955388467	0.130277176840094	68	50	50	ok	+0.094 [0.053, 0.130]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	observed_direction_agreement_p05	0.9194360775127509	0.8742889746935433	0.9468500496966777	68	50	50	ok	0.919 [0.874, 0.947]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_delta_vs_source_centroid_direction_agreement_p05	0.0936097579200914	0.0489653805315017	0.12812387696263536	68	50	50	ok	+0.094 [0.049, 0.128]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_delta_vs_source_peer_direction_agreement_p05	0.27238447287181633	0.23336845735362277	0.3010138917073572	68	50	50	ok	+0.272 [0.233, 0.301]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_delta_vs_target_centroid_direction_agreement_p05	0.23827981986811086	0.19544879534281753	0.2794411080922069	68	50	50	ok	+0.238 [0.195, 0.279]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_delta_vs_target_peer_direction_agreement_p05	0.33303411258131166	0.2913011261166084	0.35937760498160215	68	50	50	ok	+0.333 [0.291, 0.359]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_source_centroid_direction_agreement_pair_p05	0.8361616986353233	0.8137548691143827	0.8551115426485905	68	68	68	ok	0.836 [0.814, 0.855]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_source_peer_direction_agreement_pair_p05	0.6470516046409345	0.6326685969108896	0.6611770709417302	68	50	50	ok	0.647 [0.633, 0.661]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_source_peer_direction_agreement_pair_p05_corrected_percentile	0.9087846084932252	0.8293369852049135	0.9489774327593146	68	50	50	ok	0.909 [0.829, 0.949]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_source_peer_direction_agreement_pair_p05_fraction_below_observed	0.9082771417976179	0.8291877235222921	0.9490838406564436	68	50	50	ok	0.908 [0.829, 0.949]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.1305838511495904	0.12223499253927503	0.14099094834124276	68	50	50	ok	0.131 [0.122, 0.141]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_target_centroid_direction_agreement_pair_p05	0.6910483971494134	0.6614254901199119	0.7171055062603556	68	68	68	ok	0.691 [0.661, 0.717]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05	0.5864019649314391	0.573690642247952	0.59709017277906	68	50	50	ok	0.586 [0.574, 0.597]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05_corrected_percentile	0.9356024840338115	0.8594588720225758	0.971876777345254	68	50	50	ok	0.936 [0.859, 0.972]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05_fraction_below_observed	0.9351856362455194	0.8579824027707001	0.9700849682545959	68	50	50	ok	0.935 [0.858, 0.970]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05_sd_score	0.10441874642933265	0.0944412336595031	0.11808236598582057	68	50	50	ok	0.104 [0.094, 0.118]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	baseline_pair_direction_agreement_p05	0.6826053698142059	0.6477081547459662	0.7096371286974461	127	125	82	ok	0.683 [0.648, 0.710]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	delta_vs_baseline_pair_direction_agreement_p05	0.18624377057611716	0.1527571588015347	0.22560751534600018	127	65	50	ok	+0.186 [0.153, 0.226]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	observed_direction_agreement_p05	0.9492136233388188	0.915229156024477	0.968045905205611	127	65	50	ok	0.949 [0.915, 0.968]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_delta_vs_source_centroid_direction_agreement_p05	0.18624377057611716	0.15416070935922147	0.22562440975905954	127	65	50	ok	+0.186 [0.154, 0.226]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_delta_vs_source_peer_direction_agreement_p05	0.37530438366353347	0.3395101423167072	0.39535998906234304	127	65	50	ok	+0.375 [0.340, 0.395]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_delta_vs_target_centroid_direction_agreement_p05	0.26966324594323204	0.23813452922296943	0.29862244105747177	127	65	50	ok	+0.270 [0.238, 0.299]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_delta_vs_target_peer_direction_agreement_p05	0.40589324568242685	0.3743651964803029	0.42483424763048444	127	65	50	ok	+0.406 [0.374, 0.425]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_source_centroid_direction_agreement_pair_p05	0.6826053698142059	0.6503019718292826	0.7112294893637542	127	125	82	ok	0.683 [0.650, 0.711]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_source_peer_direction_agreement_pair_p05	0.5739092396752853	0.5655140688210302	0.5819353476212552	127	65	50	ok	0.574 [0.566, 0.582]
