dataset_a	dataset_b	representation	retrieval_variant	similarity_metric	scale_variant	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	source_individual_n_below_observed	source_individual_n_below_observed	172.56961139336119	160.9115223529486	183.77996011311157	11.434218880081488	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	source_individual_fraction_below_observed	source_individual_fraction_below_observed	0.6832659618336868	0.6376915900839043	0.7474610211076834	0.05488471551188956	bca	ok	0.95	2000	2000	21857	21576	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	source_individual_corrected_percentile	source_individual_corrected_percentile	0.6912090699082125	0.6439747425811598	0.7488429040426803	0.052434080730760224	bca	ok	0.95	2000	2000	21857	21576	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	target_individual_n_peers	target_individual_n_peers	221.5625852702036	210.37491301618172	231.8534615841762	10.739274283997233	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	target_individual_mean_similarity	target_individual_mean_similarity	0.034747989006252866	0.029209643936364736	0.04187487425805992	0.006332615160847592	bca	ok	0.95	2000	2000	21857	21442	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	target_individual_sd_similarity	target_individual_sd_similarity	0.12401413497118229	0.11885121358552708	0.1295747115183722	0.005361748966422553	bca	ok	0.95	2000	2000	21857	21438	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	target_individual_n_below_observed	target_individual_n_below_observed	180.02639813688316	168.70421104282303	190.49537481854955	10.895581887863258	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	target_individual_fraction_below_observed	target_individual_fraction_below_observed	0.7797069921259533	0.7464886850225779	0.8209128337038706	0.03721207434064633	bca	ok	0.95	2000	2000	21857	21442	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	target_individual_corrected_percentile	target_individual_corrected_percentile	0.7841425304331029	0.7514798155539226	0.8240827239882007	0.03630145421713904	bca	ok	0.95	2000	2000	21857	21442	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	source_centroid_similarity	source_centroid_similarity	0.18067147572958864	0.16040783433175743	0.20188976527787825	0.02074096547306041	bca	ok	0.95	2000	2000	21857	21576	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
