dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_delta_vs_target_peer_direction_agreement_p05	0.33364304536933764	0.2921725002683691	0.35985872758918497	68	50	50	ok	+0.334 [0.292, 0.360]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_source_centroid_direction_agreement_pair_p05	0.8361616986353233	0.8137548691143827	0.8551115426485905	68	68	68	ok	0.836 [0.814, 0.855]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_source_peer_direction_agreement_pair_p05	0.6467159325423699	0.6323963830000691	0.660575618806782	68	50	50	ok	0.647 [0.632, 0.661]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_source_peer_direction_agreement_pair_p05_corrected_percentile	0.9088425570828141	0.8305888884916468	0.9488785383716078	68	50	50	ok	0.909 [0.831, 0.949]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_source_peer_direction_agreement_pair_p05_fraction_below_observed	0.9084333917976178	0.8295743336992775	0.9493247992790502	68	50	50	ok	0.908 [0.830, 0.949]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.13086273881908578	0.12251338966039095	0.14130666643424525	68	50	50	ok	0.131 [0.123, 0.141]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_target_centroid_direction_agreement_pair_p05	0.6910483971494134	0.6614254901199119	0.7171055062603556	68	68	68	ok	0.691 [0.661, 0.717]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05	0.5857930321434132	0.5731199851012022	0.5964837144772344	68	50	50	ok	0.586 [0.573, 0.596]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05_corrected_percentile	0.9352520619344645	0.8594056623045196	0.9716356773504543	68	50	50	ok	0.935 [0.859, 0.972]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05_fraction_below_observed	0.9348731362455195	0.8575675641130186	0.9699791494279112	68	50	50	ok	0.935 [0.858, 0.970]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05_sd_score	0.10418592243151745	0.09428312587719087	0.11785636966448483	68	50	50	ok	0.104 [0.094, 0.118]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	baseline_pair_direction_agreement_p05	0.6826053698142059	0.6477081547459662	0.7096371286974461	127	125	82	ok	0.683 [0.648, 0.710]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	delta_vs_baseline_pair_direction_agreement_p05	0.18624377057611716	0.1527571588015347	0.22560751534600018	127	65	50	ok	+0.186 [0.153, 0.226]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	observed_direction_agreement_p05	0.9492136233388188	0.915229156024477	0.968045905205611	127	65	50	ok	0.949 [0.915, 0.968]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_delta_vs_source_centroid_direction_agreement_p05	0.18624377057611716	0.15416070935922147	0.22562440975905954	127	65	50	ok	+0.186 [0.154, 0.226]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_delta_vs_source_peer_direction_agreement_p05	0.37555375790845813	0.3401083935153424	0.3957289735757154	127	65	50	ok	+0.376 [0.340, 0.396]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_delta_vs_target_centroid_direction_agreement_p05	0.26966324594323204	0.23813452922296943	0.29862244105747177	127	65	50	ok	+0.270 [0.238, 0.299]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_delta_vs_target_peer_direction_agreement_p05	0.404490038270639	0.37176791093518635	0.4232811768734928	127	65	50	ok	+0.404 [0.372, 0.423]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_source_centroid_direction_agreement_pair_p05	0.6826053698142059	0.6503019718292826	0.7112294893637542	127	125	82	ok	0.683 [0.650, 0.711]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_source_peer_direction_agreement_pair_p05	0.5736598654303607	0.5652010846066357	0.5814921084941925	127	65	50	ok	0.574 [0.565, 0.581]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_source_peer_direction_agreement_pair_p05_corrected_percentile	0.9122337404365243	0.8588275226278278	0.9419241715018255	127	65	50	ok	0.912 [0.859, 0.942]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_source_peer_direction_agreement_pair_p05_fraction_below_observed	0.911795560644552	0.863935223176359	0.9424647425797498	127	65	50	ok	0.912 [0.864, 0.942]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.15448705266950624	0.1400977188063958	0.17202773277987388	127	65	50	ok	0.154 [0.140, 0.172]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_target_centroid_direction_agreement_pair_p05	0.5868158587823582	0.5557900077145553	0.6158671367828156	127	125	82	ok	0.587 [0.556, 0.616]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	raw_target_peer_direction_agreement_pair_p05	0.5447235850681799	0.5380199945950995	0.551449521477397	127	65	50	ok	0.545 [0.538, 0.551]
