dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_delta_vs_source_peer_deg_lfc_spearman_p05	0.19024469015002857	0.11909462575175209	0.24113688165320965	68	57	57	ok	+0.190 [0.119, 0.241]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_delta_vs_target_centroid_deg_lfc_spearman_p05	0.11230373387518446	0.032106291958874655	0.19295774655683304	68	57	57	ok	+0.112 [0.032, 0.193]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_delta_vs_target_peer_deg_lfc_spearman_p05	0.2974054424282161	0.2250423746062546	0.3462774504041157	68	57	57	ok	+0.297 [0.225, 0.346]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_observed_deg_lfc_spearman_sym_p05	0.47868769414294465	0.39889030073524273	0.5351014341687738	68	57	57	ok	0.479 [0.399, 0.535]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_source_centroid_deg_lfc_spearman_pair_p05	0.6475271932557559	0.5949675248606442	0.6876631042562533	68	67	67	ok	0.648 [0.595, 0.688]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_source_peer_deg_lfc_spearman_pair_p05	0.3000968924164091	0.27015159785211107	0.32604609626243375	68	67	67	ok	0.300 [0.270, 0.326]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.6208917262519851	0.5584306432606821	0.6798645838172996	68	67	67	ok	0.621 [0.558, 0.680]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_source_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.6185013891436701	0.548159017014178	0.6768232090405668	68	67	67	ok	0.619 [0.548, 0.677]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_source_peer_deg_lfc_spearman_pair_p05_sd_score	0.3017673751306844	0.2744389296948956	0.3372994372045214	68	67	67	ok	0.302 [0.274, 0.337]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_target_centroid_deg_lfc_spearman_pair_p05	0.373328798413586	0.30901804801569926	0.4312896523388983	68	67	67	ok	0.373 [0.309, 0.431]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_target_peer_deg_lfc_spearman_pair_p05	0.1692677951469872	0.1434285208041315	0.19252486580948605	68	67	67	ok	0.169 [0.143, 0.193]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.8066238502024617	0.7371000150227348	0.8575248580438102	68	67	67	ok	0.807 [0.737, 0.858]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.8058061364016638	0.7388254889485847	0.8596709323778723	68	67	67	ok	0.806 [0.739, 0.860]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_target_peer_deg_lfc_spearman_pair_p05_sd_score	0.2359295397922442	0.208110502232949	0.2712807420386121	68	67	67	ok	0.236 [0.208, 0.271]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	w4_delta_vs_source_centroid_deg_lfc_spearman_p05	-0.10704485277801414	-0.16421014625023858	-0.051069883497652874	127	65	51	ok	-0.107 [-0.164, -0.051]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	w4_delta_vs_source_peer_deg_lfc_spearman_p05	0.33152963494144444	0.2735683783530764	0.3797868364246498	127	65	51	ok	+0.332 [0.274, 0.380]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	w4_delta_vs_target_centroid_deg_lfc_spearman_p05	0.09663385932169705	0.038505122005526624	0.15954689094049132	127	65	51	ok	+0.097 [0.039, 0.160]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	w4_delta_vs_target_peer_deg_lfc_spearman_p05	0.3973410748725954	0.3407847649880052	0.4442710292273754	127	65	51	ok	+0.397 [0.341, 0.444]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	w4_observed_deg_lfc_spearman_sym_p05	0.4908367116474503	0.4220079897962791	0.5417499988068772	127	65	51	ok	0.491 [0.422, 0.542]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	w4_source_centroid_deg_lfc_spearman_pair_p05	0.39457233859393404	0.32338027331368513	0.45187499205136217	127	123	81	ok	0.395 [0.323, 0.452]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	w4_source_peer_deg_lfc_spearman_pair_p05	0.038180274567186236	0.015535318138804832	0.05794717807369449	127	123	81	ok	0.038 [0.016, 0.058]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.6238843599068942	0.574710769923089	0.6700081152969154	127	123	81	ok	0.624 [0.575, 0.670]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	w4_source_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.6227614613537859	0.574967972081459	0.6663735966883587	127	123	81	ok	0.623 [0.575, 0.666]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	w4_source_peer_deg_lfc_spearman_pair_p05_sd_score	0.4226485668937294	0.3876213825669952	0.4605780606549741	127	123	81	ok	0.423 [0.388, 0.461]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	raw	w4_target_centroid_deg_lfc_spearman_pair_p05	0.22914881366297013	0.16359636100020566	0.2920931315112858	127	123	81	ok	0.229 [0.164, 0.292]
